Date,Adj Close,Volume
2017-08-09,12.780000,3548500
2017-08-10,12.680000,6191600
2017-08-11,12.760000,3240600
2017-08-14,13.410000,3344600
2017-08-15,13.840000,5018300
2017-08-16,13.790000,2076500
2017-08-17,13.510000,1681000
2017-08-18,13.450000,1896000
2017-08-21,13.010000,1399300
2017-08-22,13.400000,891300
2017-08-23,13.290000,975300
2017-08-24,13.330000,1500100
2017-08-25,13.780000,1389400
2017-08-28,13.350000,2790000
2017-08-29,12.990000,3878500
2017-08-30,12.890000,2490400
2017-08-31,12.980000,1317000
2017-09-01,12.630000,1705200
2017-09-05,12.470000,3553000
2017-09-06,12.700000,2540200
2017-09-07,12.340000,2175600
2017-09-08,12.200000,1770500
2017-09-11,12.800000,1652300
2017-09-12,13.200000,3263800
2017-09-13,12.880000,1825400
2017-09-14,13.220000,1637200
2017-09-15,13.020000,1121900
2017-09-18,12.610000,973300
2017-09-19,12.580000,731500
2017-09-20,12.410000,1062900
2017-09-21,12.360000,1814600
2017-09-22,12.390000,1787200
2017-09-25,12.160000,1476600
2017-09-26,12.100000,1827500
2017-09-27,12.590000,3278300
2017-09-28,13.440000,4589500
2017-09-29,12.990000,4642300
2017-10-02,13.390000,3142000
2017-10-03,13.490000,4673300
2017-10-04,14.110000,7878000
2017-10-05,13.190000,6281900
2017-10-06,13.290000,4976700
2017-10-09,13.690000,6492000
2017-10-10,13.160000,5483100
2017-10-11,13.680000,4278400
2017-10-12,13.220000,3570300
2017-10-13,13.120000,1298700
2017-10-16,12.530000,2945600
2017-10-17,12.480000,1357200
2017-10-18,12.310000,1316800
2017-10-19,12.190000,1845300
2017-10-20,12.380000,1378200
2017-10-23,12.150000,1712200
2017-10-24,12.150000,1839000
2017-10-25,11.890000,1834500
2017-10-26,11.830000,1669000
2017-10-27,11.850000,1686500
2017-10-30,11.630000,1095400
2017-10-31,11.480000,3266400
2017-11-01,11.680000,2139400
2017-11-02,11.800000,2746500
2017-11-03,11.210000,8297400
2017-11-06,11.190000,3858400
2017-11-07,11.360000,5045700
2017-11-08,12.170000,3301300
2017-11-09,12.580000,3376800
2017-11-10,12.150000,2368800
2017-11-13,11.560000,4592600
2017-11-14,12.090000,3036200
2017-11-15,12.050000,1273600
2017-11-16,11.840000,1881800
2017-11-17,11.820000,2063600
2017-11-20,10.980000,3240600
2017-11-21,10.800000,4459600
2017-11-22,10.610000,2625500
